id,"created_at","updated_at","item_id","category","item_name",display_order,"chi_item_name","standard","graph_id","barcode",incoming_inv,inventory,preserved_inv,shipped_inv,"unit",safety_inventory,unit_weight,avg_cost,price1,price2,price3,price4,price5,price6,"descriptions","remark"
1,"2016-04-26 22:58:52","2016-11-18 16:13:30","FAGC-0001","AR15 ","M16 Carrier  Phosphate ",0,"大本體","","","",0,545,0,76,"Piece",0,245.00,28.347987117552,63.59,40.63,37.45,36.39,33.92,32.5,"AR15 M16 Carrier",""
5,"2016-06-01 19:56:08","2017-02-03 10:11:19","FAGC-0002","AR15 ","M16 Carrier  Chrome",1,"","","","",0,-1,0,1,"Piece",0,0.00,0,66.73,42.63,39.29,38.18,35.59,34.1,"",""
6,"2016-06-01 20:01:46","2017-02-03 10:11:19","FAGC-0003","AR15 ","M16 Carrier Nickel Boron",2,NULL,"","","",0,0,0,0,"Piece",0,NULL,0,80.78,51.61,47.57,46.23,43.08,41.29,"",""
7,"2016-06-01 20:04:11","2017-02-03 10:11:19","FAGC-0004","AR15 ","M16 Carrier  Titanium",3,NULL,"","","",0,0,0,0,"Piece",0,0.00,0,88.94,56.82,52.37,50.89,47.43,45.46,"",""
8,"2016-06-01 20:40:57","2017-02-03 10:11:19","FAGC-OPBC","AR15 ","AR15/M16 1-Piece Piston  Bolt Carrier",4,NULL,"","","",0,0,0,0,"Piece",0,NULL,0,85.76,58.6,56.2,53.89,51.33,48.98,"",""
9,"2016-06-01 20:43:49","2017-02-03 10:11:19","FAGC-0005","AR15 ","AR15/M16 Bolt  Assmebly Phosphate",5,"小本體","","","",0,919,0,22,"Piece",0,44.00,17.070977683316,48.6,31.05,28.62,27.81,25.92,24.84,"",""
10,"2016-06-01 20:47:18","2017-02-03 10:11:19","FAGC-0006","AR15 ","AR15/M16 Bolt  Assembly  Chrome",6,NULL,"","","",0,0,0,0,"Piece",0,NULL,0,52.2,33.35,30.74,29.87,27.84,26.68,"",""
11,"2016-06-01 20:50:03","2017-02-03 10:11:19","FAGC-0007","AR15","AR15/M16 Bolt  Assembly  Ni.Bo",7,NULL,"","","",0,0,0,0,"Piece",0,NULL,0,53.26,34.03,31.37,30.48,28.41,27.22,"",""
12,"2016-06-01 20:51:30","2017-02-03 10:11:19","FAGC-0008","AR15 ","AR15/M16 Bolt  Assembly  Titanium",8,NULL,"","","",0,0,0,0,"Piece",0,NULL,0,57.96,37.03,34.13,33.17,30.91,29.62,"",""
13,"2016-06-01 20:53:24","2017-02-03 10:11:19","FAGC-0009","AR15 ","Dust Cover Assembly AR15",9,"防塵蓋 AR15","","","",0,12723,0,7744,"Piece",0,21.00,1.994873210534,4.5,3.2,3.08,2.76,2.56,2.38,"",""
